websites,country,category,cmp,smp,,,,,,,,,,,
0180.info,germany,Business,consentmanager.net,n/a,,,,0,,,,,,,
1-2-family.de,germany,n/a,Traffective GmbH,freechoice,,,,0,,,,,,,
24auto.de,germany,n/a,Traffective GmbH,freechoice,,,,0,,633,germany,,,,
24books.de,germany,n/a,Traffective GmbH,freechoice,,,,0,,26,austria,,,,
24garten.de,germany,Personal Sites,Traffective GmbH,freechoice,,,,0,,38,france,,,additive-manufacturing-industry.de,Business
24hamburg.de,germany,News,Traffective GmbH,freechoice,,,,0,,33,spain,,,aerokurier.de,Transportation
24rhein.de,germany,News,Traffective GmbH,freechoice,,,,0,,29,italy,,,aerotelegraph.com,Travel
24royal.de,germany,News,Traffective GmbH,freechoice,,,,0,,2,uk,,,aerztezeitung.de,Health & Medicine
24vita.de,germany,Health & Medicine,Traffective GmbH,freechoice,,,,0,,10,us,,,allesbeste.de,Education
50plus.de,germany,Shopping,consentmanager.net,contentpass,,,,0,,5,denmark,,,allgemeine-zeitung.de,News
750g.com,france,Restaurants & Dining,Didomi,n/a,,,,,,,,,,allocine.fr,Streaming Media & Downloads
abc.es,spain,News,Didomi,n/a,,,,0,,1,brazil,,,amandinecooking.com,Restaurants & Dining
abendzeitung-muenchen.de,germany,n/a,Traffective GmbH,n/a,,,,0,,2,antigua and barbuda,,,amica.it,Fashion & Beauty
abitare.it,italy,Business,RCS MediaGroup S.p.A.,n/a,,,,0,,,,,,analog-praxis.de,Shopping
achgut.com,united kingdom,n/a,Traffective GmbH,freechoice,,,,0,,,,,,androidnext.de,Computers & Technology
additive-manufacturing-industry.de,germany,Business,consentmanager.net,n/a,,,,0,,,,,,anime2you.de,Entertainment
aerokurier.de,germany,Transportation,"Sourcepoint Technologies, Inc.",n/a,,,,0,,,,,,ansa.it,News
aerotelegraph.com,united states,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,0,,,,,,ansamed.info,News
aerztezeitung.de,germany,n/a,OneTrust LLC,contentpass,,,,0,,,,,,astroportal.com,Religion
all-about-industries.com,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,atlantico.fr,News
all3dp.com,germany,Computers & Technology,iubenda,n/a,,,,,,,,,,aufunsere.art,Entertainment
alles-ueber-migraene.de,germany,Personal Sites,Traffective GmbH,freechoice,,,,,,,,,,auszeit.bio,Personal Sites
allgaeu-erleben.com,germany,Travel,Traffective GmbH,freechoice,,,,,,,,,,autlook.at,Business
allgaeuer-zeitung.de,germany,n/a,Usercentrics.com,n/a,,,,,,,,,,auto-motor-und-sport.de,Transportation
allgemeine-zeitung.de,germany,n/a,consentmanager.net,n/a,,,,,,,,,,autobild.de,Transportation
allocine.fr,france,Streaming Media & Downloads,Didomi,n/a,,,,,,,,,,autoflotte.de,Transportation
amandinecooking.com,france,n/a,Didomi,n/a,,,,,,,,,,autofrage.net,Transportation
amica.it,italy,Fashion & Beauty,RCS MediaGroup S.p.A.,n/a,,,210,,,,,,,autoguru.de,Transportation
analog-praxis.de,germany,n/a,consentmanager.net,contentpass,,,59,,,,,,,autohaus.de,Transportation
animalfunfacts.net,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,automobil-industrie.vogel.de,Business
anime2you.de,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,autoservice.co.at,Transportation
ansa.it,italy,News,iubenda,n/a,,,,,,,,,,autoservicepraxis.de,Transportation
ansamed.info,italy,n/a,iubenda,n/a,,,,,,,,,,backenmachtgluecklich.de,Restaurants & Dining
aquarienmagazin.com,germany,n/a,Papoo Software & Media GmbH,contentpass,,,,,,,,,,bahnblogstelle.com,Unknown
aquarium-ratgeber.com,germany,n/a,Papoo Software & Media GmbH,contentpass,,,,,,,,,,basic-tutorials.de,Computers & Technology
arbeitslosengeldrechner24.de,germany,Finance,Traffective GmbH,freechoice,,,,,,,,,,baugewerbe-magazin.de,News
ariva.de,germany,Finance,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,bba-online.de,Computers & Technology
as.com,spain,n/a,Didomi,contentpass,,,,,,,,,,beauxarts.com,General
astroportal.com,austria,Religion,Ezoic,n/a,,,,,,,,,,bento.de,Entertainment
astrowoche.wunderweib.de,germany,Leisure & Recreation,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,bigdata-insider.de,Business
atlantico.fr,france,News,iubenda,n/a,,,,,,,,,,bike-x.de,Transportation
augsburger-allgemeine.de,germany,News,Usercentrics.com,n/a,,,,,,,,,,bild.de,News
auszeit.bio,germany,n/a,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,blechnet.com,Business
autlook.at,austria,Business,consentmanager.net,contentpass,,,,,,,,,,boersennews.de,Finance
auto-motor-und-sport.de,germany,Transportation,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,boomer.at,Unknown
autobild.de,germany,Transportation,Axel Springer Deutschland GmbH,n/a,,,,,,,,,,braunschweiger-zeitung.de,News
autobild.es,spain,n/a,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,bravo.de,Entertainment
autocad-magazin.de,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,brigitte.de,Leisure & Recreation
autoflotte.de,germany,Transportation,Usercentrics.com,contentpass,,,,,,,,,,bz-berlin.de,News
autofrage.net,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,calcionapoli1926.it,Sports
autoguru.de,germany,Transportation,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,caminteresse.fr,News
autohaus.de,germany,Transportation,Usercentrics.com,contentpass,,,,,,,,,,capital.de,Finance
automobil-industrie.vogel.de,germany,Business,consentmanager.net,contentpass,,,,,,,,,,capital.fr,News
autoservice.co.at,austria,Transportation,consentmanager.net,contentpass,,,,,,,,,,caravaning.de,Travel
autoservicepraxis.de,germany,Transportation,Usercentrics.com,contentpass,,,,,,,,,,cavallo.de,Business
autozeitung.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,cesoirtv.com,Entertainment
az-online.de,germany,Education,Traffective GmbH,freechoice,,,,,,,,,,chartsinfrance.net,Entertainment
babelli.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,cinefacts.de,Entertainment
baby-vornamen.de,germany,Education,Traffective GmbH,freechoice,,,,,,,,,,cittaceleste.it,Sports
backenmachtgluecklich.de,germany,Restaurants & Dining,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,climate-data.org,News
bafoeg-rechner.de,germany,Education,consentmanager.net,contentpass,,,,,,,,,,cloudcomputing-insider.de,Computers & Technology
bahnblogstelle.com,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,cnv-medien.de,News
bau-welt.de,germany,Business,Traffective GmbH,freechoice,,,,,,,,,,computer-automation.de,Computers & Technology
bauen-aktuell.eu,germany,Computers & Technology,consentmanager.net,contentpass,,,,,,,,,,computerbase.de,Computers & Technology
baugewerbe-magazin.de,germany,News,consentmanager.net,n/a,,,,,,,,,,computerbild.de,Computers & Technology
bayreuther-tagblatt.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,computerfrage.net,Computers & Technology
bba-online.de,germany,Computers & Technology,consentmanager.net,contentpass,,,,,,,,,,connect-living.de,Shopping
beauxarts.com,france,General,Didomi,n/a,,,,,,,,,,connect-professional.de,Unknown
bebesymas.com,spain,Personal Sites,Didomi,contentpass,,,,,,,,,,connect.de,Computers & Technology
bedeutungonline.de,germany,Education,Traffective GmbH,freechoice,,,,,,,,,,corriere.it,News
bento.de,germany,Entertainment,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,cosmopolitan.de,Leisure & Recreation
berlin-live.de,germany,Entertainment,consentmanager.net,contentpass,,,,,,,,,,das-pta-magazin.de,Health & Medicine
beste-freundin-gesucht.de,germany,n/a,Google LLC,n/a,,,,,,,,,,datacenter-insider.de,Computers & Technology
bgland24.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,derbyderbyderby.it,Sports
bigdata-insider.de,germany,Business,consentmanager.net,contentpass,,,,,,,,,,derstandard.at,News
bike-x.de,germany,Personal Sites,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,derstandard.de,News
bikemarkt.mtb-news.de,germany,Sports,OneTrust LLC,contentpass,,,,,,,,,,derwesten.de,News
bild.de,germany,News,Axel Springer Deutschland GmbH,n/a,,,,,,,,,,desired.de,Shopping
bildderfrau.de,germany,Leisure & Recreation,consentmanager.net,contentpass,,,,,,,,,,dev-insider.de,Computers & Technology
blechnet.com,germany,Business,consentmanager.net,contentpass,,,,,,,,,,devicemed.de,Business
blinker.de,germany,Leisure & Recreation,Traffective GmbH,freechoice,,,,,,,,,,dieharke.de,News
boerse.de,germany,Finance,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,diestandard.at,News
boersen-zeitung.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,dino-online.de,Forums & Newsgroups
boersennews.de,germany,Finance,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,dnn-online.de,News
boomer.at,switzerland,Personal Sites,consentmanager.net,contentpass,,,,,,,,,,dnn.de,News
boyens-medien.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,donnerwetter.de,News
branchen-info.net,germany,Education,Usercentrics.com,n/a,,,,,,,,,,dumontreise.de,Travel
braunschweiger-zeitung.de,germany,News,consentmanager.net,contentpass,,,,,,,,,,easyvoyage.com,Travel
bravo.de,germany,Entertainment,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,eat.de,Computers & Technology
brigitte.de,germany,Leisure & Recreation,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,echo-online.de,News
brokser-heiratsmarkt.de,germany,Search Engines & Portals,Traffective GmbH,freechoice,,,,,,,,,,egovernment-computing.de,Computers & Technology
buffed.de,germany,Games,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,eklablog.com,Computers & Technology
buildingnet.de,germany,Unknown,consentmanager.net,contentpass,,,,,,,,,,ekladata.com,Computers & Technology
burgosconecta.es,eu #country is really world wide,n/a,Didomi,contentpass,,,,,,,,,,elektroniknet.de,Business
businessinsider.es,united states,Business,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,elektronikpraxis.de,News
buzzfeed.at,germany,Parked Domains,Traffective GmbH,freechoice,,,,,,,,,,elektropraxis.at,Business
buzzfeed.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,elektrotechnik.vogel.de,Business
bw24.de,germany,Entertainment,Traffective GmbH,freechoice,,,,,,,,,,eltern.de,Leisure & Recreation
bz-berlin.de,germany,News,Axel Springer Deutschland GmbH,n/a,,,,,,,,,,embedded-software-engineering.de,Computers & Technology
cadenadial.com,spain,Streaming Media & Downloads,Didomi,contentpass,,,,,,,,,,emtb-news.de,News
cadenaser.com,united states,News,Didomi,contentpass,,,,,,,,,,en.kunststoffe.de,Business
calcionapoli1926.it,italy,Sports,RCS MediaGroup S.p.A.,n/a,,,,,,,,,,entsorgen.org,Computers & Technology
calcolareonline.eu,germany,Games,Traffective GmbH,freechoice,,,,,,,,,,erbrecht-ratgeber.de,Business
caminteresse.fr,france,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,erdbeerlounge.de,Leisure & Recreation
canarias7.es,eu # country is really world wide,News,Didomi,contentpass,,,,,,,,,,erneuerbareenergien.de,Business
capital.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,esports.com,Sports
capital.fr,france,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,etmm-online.com,Entertainment
