websites,country,category,cmp,smp
0180.info,germany,Business,consentmanager.net,n/a
1-2-family.de,germany,n/a,Traffective GmbH,freechoice
24auto.de,germany,n/a,Traffective GmbH,freechoice
24books.de,germany,n/a,Traffective GmbH,freechoice
24garten.de,germany,Personal Sites,Traffective GmbH,freechoice
24hamburg.de,germany,News,Traffective GmbH,freechoice
24rhein.de,germany,News,Traffective GmbH,freechoice
24royal.de,germany,News,Traffective GmbH,freechoice
24vita.de,germany,Health & Medicine,Traffective GmbH,freechoice
50plus.de,germany,Shopping,consentmanager.net,contentpass
750g.com,france,Restaurants & Dining,Didomi,n/a
abc.es,spain,News,Didomi,n/a
abendzeitung-muenchen.de,germany,n/a,Traffective GmbH,n/a
abitare.it,italy,Business,RCS MediaGroup S.p.A.,n/a
achgut.com,united kingdom,n/a,Traffective GmbH,freechoice
additive-manufacturing-industry.de,germany,Business,consentmanager.net,n/a
aerokurier.de,germany,Transportation,"Sourcepoint Technologies, Inc.",n/a
aerotelegraph.com,united states,n/a,"Sourcepoint Technologies, Inc.",n/a
aerztezeitung.de,germany,n/a,OneTrust LLC,contentpass
all-about-industries.com,germany,n/a,consentmanager.net,contentpass
all3dp.com,germany,Computers & Technology,iubenda,n/a
alles-ueber-migraene.de,germany,Personal Sites,Traffective GmbH,freechoice
allgaeu-erleben.com,germany,Travel,Traffective GmbH,freechoice
allgaeuer-zeitung.de,germany,n/a,Usercentrics.com,n/a
allgemeine-zeitung.de,germany,n/a,consentmanager.net,n/a
allocine.fr,france,Streaming Media & Downloads,Didomi,n/a
amandinecooking.com,france,n/a,Didomi,n/a
amica.it,italy,Fashion & Beauty,RCS MediaGroup S.p.A.,n/a
analog-praxis.de,germany,n/a,consentmanager.net,contentpass
animalfunfacts.net,germany,n/a,consentmanager.net,contentpass
anime2you.de,germany,n/a,consentmanager.net,contentpass
ansa.it,italy,News,iubenda,n/a
ansamed.info,italy,n/a,iubenda,n/a
aquarienmagazin.com,germany,n/a,Papoo Software & Media GmbH,contentpass
aquarium-ratgeber.com,germany,n/a,Papoo Software & Media GmbH,contentpass
arbeitslosengeldrechner24.de,germany,Finance,Traffective GmbH,freechoice
ariva.de,germany,Finance,"Sourcepoint Technologies, Inc.",n/a
as.com,spain,n/a,Didomi,contentpass
astroportal.com,austria,Religion,Ezoic,n/a
astrowoche.wunderweib.de,germany,Leisure & Recreation,"Sourcepoint Technologies, Inc.",n/a
atlantico.fr,france,News,iubenda,n/a
augsburger-allgemeine.de,germany,News,Usercentrics.com,n/a
auszeit.bio,germany,n/a,"Sourcepoint Technologies, Inc.",contentpass
autlook.at,austria,Business,consentmanager.net,contentpass
auto-motor-und-sport.de,germany,Transportation,"Sourcepoint Technologies, Inc.",n/a
autobild.de,germany,Transportation,Axel Springer Deutschland GmbH,n/a
autobild.es,spain,n/a,"Sourcepoint Technologies, Inc.",contentpass
autocad-magazin.de,germany,n/a,consentmanager.net,contentpass
autoflotte.de,germany,Transportation,Usercentrics.com,contentpass
autofrage.net,germany,n/a,consentmanager.net,contentpass
autoguru.de,germany,Transportation,"Sourcepoint Technologies, Inc.",contentpass
autohaus.de,germany,Transportation,Usercentrics.com,contentpass
automobil-industrie.vogel.de,germany,Business,consentmanager.net,contentpass
autoservice.co.at,austria,Transportation,consentmanager.net,contentpass
autoservicepraxis.de,germany,Transportation,Usercentrics.com,contentpass
autozeitung.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a
az-online.de,germany,Education,Traffective GmbH,freechoice
babelli.de,germany,n/a,Traffective GmbH,freechoice
baby-vornamen.de,germany,Education,Traffective GmbH,freechoice
backenmachtgluecklich.de,germany,Restaurants & Dining,"Sourcepoint Technologies, Inc.",contentpass
bafoeg-rechner.de,germany,Education,consentmanager.net,contentpass
bahnblogstelle.com,germany,n/a,consentmanager.net,contentpass
bau-welt.de,germany,Business,Traffective GmbH,freechoice
bauen-aktuell.eu,germany,Computers & Technology,consentmanager.net,contentpass
baugewerbe-magazin.de,germany,News,consentmanager.net,n/a
bayreuther-tagblatt.de,germany,News,Traffective GmbH,freechoice
bba-online.de,germany,Computers & Technology,consentmanager.net,contentpass
beauxarts.com,france,General,Didomi,n/a
bebesymas.com,spain,Personal Sites,Didomi,contentpass
bedeutungonline.de,germany,Education,Traffective GmbH,freechoice
bento.de,germany,Entertainment,"Sourcepoint Technologies, Inc.",n/a
berlin-live.de,germany,Entertainment,consentmanager.net,contentpass
beste-freundin-gesucht.de,germany,n/a,Google LLC,n/a
bgland24.de,germany,News,Traffective GmbH,freechoice
bigdata-insider.de,germany,Business,consentmanager.net,contentpass
bike-x.de,germany,Personal Sites,"Sourcepoint Technologies, Inc.",n/a
bikemarkt.mtb-news.de,germany,Sports,OneTrust LLC,contentpass
bild.de,germany,News,Axel Springer Deutschland GmbH,n/a
bildderfrau.de,germany,Leisure & Recreation,consentmanager.net,contentpass
blechnet.com,germany,Business,consentmanager.net,contentpass
blinker.de,germany,Leisure & Recreation,Traffective GmbH,freechoice
boerse.de,germany,Finance,"Sourcepoint Technologies, Inc.",contentpass
boersen-zeitung.de,germany,n/a,Traffective GmbH,freechoice
boersennews.de,germany,Finance,"Sourcepoint Technologies, Inc.",n/a
boomer.at,switzerland,Personal Sites,consentmanager.net,contentpass
boyens-medien.de,germany,n/a,Traffective GmbH,freechoice
branchen-info.net,germany,Education,Usercentrics.com,n/a
braunschweiger-zeitung.de,germany,News,consentmanager.net,contentpass
bravo.de,germany,Entertainment,"Sourcepoint Technologies, Inc.",n/a
brigitte.de,germany,Leisure & Recreation,"Sourcepoint Technologies, Inc.",n/a
brokser-heiratsmarkt.de,germany,Search Engines & Portals,Traffective GmbH,freechoice
buffed.de,germany,Games,"Sourcepoint Technologies, Inc.",n/a
buildingnet.de,germany,Unknown,consentmanager.net,contentpass
burgosconecta.es,eu #country is really world wide,n/a,Didomi,contentpass
businessinsider.es,united states,Business,"Sourcepoint Technologies, Inc.",contentpass
buzzfeed.at,germany,Parked Domains,Traffective GmbH,freechoice
buzzfeed.de,germany,News,Traffective GmbH,freechoice
bw24.de,germany,Entertainment,Traffective GmbH,freechoice
bz-berlin.de,germany,News,Axel Springer Deutschland GmbH,n/a
cadenadial.com,spain,Streaming Media & Downloads,Didomi,contentpass
cadenaser.com,united states,News,Didomi,contentpass
calcionapoli1926.it,italy,Sports,RCS MediaGroup S.p.A.,n/a
calcolareonline.eu,germany,Games,Traffective GmbH,freechoice
caminteresse.fr,france,News,"Sourcepoint Technologies, Inc.",n/a
canarias7.es,eu # country is really world wide,News,Didomi,contentpass
capital.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a
capital.fr,france,n/a,"Sourcepoint Technologies, Inc.",n/a
cavallo.de,germany,Business,"Sourcepoint Technologies, Inc.",n/a
cesoirtv.com,france,Entertainment,"Sourcepoint Technologies, Inc.",n/a
chartsinfrance.net,france,Entertainment,Didomi,n/a
checkpoint-golf.com,germany,Business,consentmanager.net,contentpass
chiemgau24.de,germany,News,Traffective GmbH,freechoice
christliche-partnersuche.de,germany,Shopping,consentmanager.net,contentpass
cittaceleste.it,italy,Sports,RCS MediaGroup S.p.A.,n/a
clima.com,redacted for privacy,Education,Didomi,contentpass
climadobrasil.com.br,brazil,Travel,Didomi,n/a
cloudcomputing-insider.de,germany,n/a,consentmanager.net,contentpass
